,"(515, 377, 1)","(377, 515, 1)","(515, 377, 3)","(377, 515, 3)","(515, 377, 5)","(377, 515, 5)","(515, 377, 10)","(377, 515, 10)","(0, 0, 0)"
"{""377"": 47, ""515"": 5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 48, ""515"": 18}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 6, ""515"": 22}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": -10, ""515"": 36}",-12.388896541875457,-10.721651937458446,-7.584837170052108,-5.708163953362243,-8.25058992126439,-8.468084022051746,-8.68340318183123,-9.7281285281915,-5.462791872083074
"{""377"": -34, ""515"": 67}",-4.635318334324794,-1.194,-11.90216462765724,-4.0760791255806,-6.279704744477014,-6.279704744477014,-11.416327906724486,-20.263077540960975,-4.635318334324794
"{""377"": -39, ""515"": 73}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": -4, ""515"": 29}",-9.523362149688383,-7.808988798351587,-12.388896541875457,-10.914435418083862,-12.388896541875457,-16.30170756768255,-8.468084022051746,-8.896569150012917,-8.25058992126439
"{""377"": 79, ""515"": -53}",0.0,-6.816907697032244,-1.194,-0.6,-3.51119103594,-0.6,-5.7370754994717315,-6.279704744477014,-1.194
"{""377"": 110, ""515"": -63}",-1.194,-0.6,0.0,-1.194,0.0,-3.51119103594,0.0,0.0,-0.6
"{""377"": 109, ""515"": -58}",-0.6,0.0,-1.78206,-0.6,-0.6,-0.6,-0.6,-2.940597006,-0.6
"{""377"": 108, ""515"": -56}",-2.3642393999999998,-0.6,-3.51119103594,-1.194,-0.6,-11.90216462765724,-1.78206,-1.194,-0.6
"{""377"": 107, ""515"": -58}",-1.78206,0.0,-1.78206,-0.6,0.0,-1.194,-2.3642393999999998,0.0,0.0
"{""377"": 112, ""515"": -55}",-17.36680636366246,-2.940597006,-1.78206,-0.6,-2.3642393999999998,0.0,0.0,-0.6,-1.78206
"{""377"": 119, ""515"": -53}",-1.194,-1.78206,-2.3642393999999998,-2.3642393999999998,-2.3642393999999998,-8.912533734307463,-10.429882569864796,-5.188965150981547,-12.859311551566861
"{""377"": 109, ""515"": -43}",-22.588476306527983,-10.925583744166149,-4.635318334324794,-7.875251233861302,-4.0760791255806,-4.635318334324794,-11.416327906724486,-7.348738620061922,-10.429882569864796
